SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_POPEST2016,NRANK_POPEST2017,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_NPCHG2016,NRANK_NPCHG2017,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015,NRANK_PPCHG2016,NRANK_PPCHG2017
010,0,0,00,United States,308758105,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178,580316,2305859,2348992,2241233,2388020,2417314,2366096,2313243,0.1879516653,0.745416296,0.7537414131,0.7137837654,0.7551421373,0.7586764307,0.737010088,0.7152753706,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
020,1,0,00,Northeast Region,55318350,55388349,55642659,55860261,56047732,56203078,56296628,56359360,56470581,69999,254310,217602,187471,155346,93550,62732,111221,0.1265384814,0.4591398816,0.3910704555,0.3356070964,0.2771673259,0.1664499585,0.1114311855,0.1973425532,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4
020,2,0,00,Midwest Region,66929794,66973360,67141501,67318295,67534451,67720120,67839187,67978168,68179351,43566,168141,176794,216156,185669,119067,138981,201183,0.0650920874,0.2510565395,0.2633155312,0.3210954763,0.2749248676,0.1758221929,0.204868316,0.2959523711,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3
020,3,0,00,South Region,114563024,114869241,116060993,117291728,118422269,119699966,121081238,122423457,123658624,306217,1191752,1230735,1130541,1277697,1381272,1342219,1235167,0.2672913033,1.0374857443,1.0604208772,0.9638710413,1.078933051,1.1539451899,1.1085276482,1.0089300125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020,4,0,00,West Region,71946937,72107471,72799127,73522988,74230053,74999361,75822786,76644950,77410622,160534,691656,723861,707065,769308,823425,822164,765672,0.2231283314,0.9592015784,0.9943264842,0.9616924165,1.0363834713,1.0979093542,1.0843231215,0.9989855822,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
040,3,6,01,Alabama,4780135,4785579,4798649,4813946,4827660,4840037,4850858,4860545,4874747,5444,13070,15297,13714,12377,10821,9687,14202,0.1138879969,0.2731121981,0.3187772225,0.2848806364,0.2563767954,0.223572671,0.199696631,0.2921894561,23,23,23,23,23,23,24,24,24,28,33,27,32,31,32,34,29,34,39,36,36,36,35,35,34
040,4,9,02,Alaska,710249,714015,722259,730825,736760,736759,737979,741522,739795,3766,8244,8566,5935,-1,1220,3543,-1727,0.530236579,1.1545975925,1.1860011436,0.812095919,-0.000135729,0.1655901048,0.4800949621,-0.232899361,47,47,47,47,47,48,48,48,48,31,39,41,42,46,42,38,47,2,7,10,21,46,38,22,48
040,4,8,04,Arizona,6392309,6407002,6465488,6544211,6616124,6706435,6802262,6908642,7016270,14693,58486,78723,71913,90311,95827,106380,107628,0.2298543453,0.9128450405,1.2175879067,1.0988796052,1.365013715,1.4288813654,1.5638915408,1.5578749051,16,16,16,15,15,15,14,14,14,11,10,8,9,6,8,7,7,17,15,9,9,7,9,10,6
040,3,7,05,Arkansas,2916031,2921737,2938640,2949208,2956780,2964800,2975626,2988231,3004279,5706,16903,10568,7572,8020,10826,12605,16048,0.1956769321,0.5785257195,0.3596221381,0.2567468961,0.2712410122,0.3651511063,0.4236083433,0.5370401418,32,32,32,32,32,32,33,32,32,27,25,36,41,37,31,30,27,26,30,33,39,34,30,25,23
040,4,9,06,California,37254518,37327690,37672654,38019006,38347383,38701278,39032444,39296476,39536653,73172,344964,346352,328377,353895,331166,264032,240177,0.1964110769,0.9241504095,0.9193724445,0.8637180046,0.9228661054,0.8556978403,0.6764423975,0.6111922097,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,25,14,19,19,16,16,20,21
040,4,8,08,Colorado,5029325,5048029,5116411,5186330,5262556,5342311,5440445,5530105,5607154,18704,68382,69919,76226,79755,98134,89660,77049,0.3718988135,1.3546277171,1.3665633977,1.4697483577,1.5155183147,1.8369203889,1.6480269537,1.3932646848,22,22,22,22,22,22,22,21,21,8,9,10,6,8,7,8,8,6,5,6,5,6,4,8,9
040,1,1,09,Connecticut,3574114,3580171,3591927,3597705,3602470,3600188,3593862,3587685,3588184,6057,11756,5778,4765,-2282,-6326,-6177,499,0.1694685732,0.3283642038,0.1608607302,0.1324455451,-0.063345427,-0.175713046,-0.171876383,0.0139086904,29,29,29,29,29,29,29,29,29,24,35,44,44,49,49,49,42,28,38,44,42,49,49,47,43
040,3,5,10,Delaware,897936,899712,907884,916868,925114,934805,944107,952698,961939,1776,8172,8984,8246,9691,9302,8591,9241,0.1977869247,0.908290653,0.9895537315,0.8993661029,1.0475465726,0.9950738389,0.9099604176,0.969982093,45,45,45,45,45,45,45,45,45,43,40,40,39,35,33,35,35,24,16,17,17,12,15,15,16
040,3,5,11,District of Columbia,601766,605040,620336,635630,650114,660797,672736,684336,693972,3274,15296,15294,14484,10683,11939,11600,9636,0.5440653011,2.5280973159,2.4654380852,2.2786841401,1.6432502607,1.8067575973,1.724301955,1.4080802413,50,50,50,49,49,49,49,49,49,35,28,28,31,34,29,32,34,1,1,1,2,3,6,7,8
040,3,5,12,Florida,18804594,18846461,19097369,19341327,19584927,19897747,20268567,20656589,20984400,41867,250908,243958,243600,312820,370820,388022,327811,0.2226424032,1.3313268735,1.2774429818,1.2594792488,1.5972487413,1.8636280781,1.9144027301,1.5869561039,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,19,6,7,6,5,2,3,5
040,3,5,13,Georgia,9688690,9712696,9810595,9911171,9981773,10083850,10199533,10313620,10429379,24006,97899,100576,70602,102077,115683,114087,115759,0.2477734348,1.0079487714,1.025177372,0.7123477135,1.0226339549,1.1472106388,1.1185512121,1.1223896168,9,9,9,8,8,8,8,8,8,7,5,4,10,4,4,6,6,15,11,14,24,14,13,13,14
040,4,9,15,Hawaii,1360301,1363817,1378323,1392772,1408038,1417710,1426320,1428683,1427538,3516,14506,14449,15266,9672,8610,2363,-1145,0.2584722058,1.0636324375,1.0483029014,1.0960875147,0.6869132793,0.6073174345,0.1656710976,-0.080143741,40,40,40,40,40,40,40,40,40,33,30,31,30,36,34,41,45,11,9,13,10,22,21,37,47
040,4,8,16,Idaho,1567650,1570912,1583180,1594673,1610187,1630391,1649324,1680026,1716943,3262,12268,11493,15514,20204,18933,30702,36917,0.2080821612,0.7809476279,0.7259439862,0.9728640292,1.254761093,1.1612551836,1.8614899195,2.1974064687,39,39,39,39,39,39,39,39,39,36,34,34,27,24,21,16,16,21,19,24,14,9,12,4,1
040,2,3,17,Illinois,12831565,12841196,12862298,12878494,12890403,12882438,12862051,12835726,12802023,9631,21102,16196,11909,-7965,-20387,-26325,-33703,0.0750570955,0.1643304876,0.1259184012,0.0924719925,-0.061790155,-0.158254206,-0.204671868,-0.262571825,5,5,5,5,5,5,5,5,6,17,23,26,35,51,51,51,51,42,44,45,45,48,48,50,49
040,2,3,18,Indiana,6484125,6490029,6515358,6535665,6567484,6593182,6610596,6634007,6666818,5904,25329,20307,31819,25698,17414,23411,32811,0.091053149,0.3902756059,0.3116789592,0.4868517588,0.3912913987,0.2641213302,0.3541435598,0.4945879617,15,15,15,16,16,16,16,17,17,26,22,23,19,21,22,19,19,39,36,37,31,30,31,29,25
040,2,4,19,Iowa,3046869,3050223,3063690,3074386,3089876,3105563,3118473,3130869,3145711,3354,13467,10696,15490,15687,12910,12396,14842,0.1100802168,0.4415087028,0.3491214842,0.5038404416,0.5076902762,0.4157056225,0.3975022391,0.4740536892,30,30,30,30,30,30,30,30,30,34,31,35,28,27,26,31,28,37,35,34,30,27,29,27,26
040,2,4,20,Kansas,2853130,2858403,2868756,2885316,2892900,2899553,2905789,2907731,2913123,5273,10353,16560,7584,6653,6236,1942,5392,0.1848145721,0.3621952538,0.5772536946,0.2628481594,0.2299768398,0.2150676328,0.0668321065,0.1854366859,33,33,33,33,34,34,34,35,35,30,37,24,40,40,37,42,39,27,37,30,38,38,36,44,38
040,3,6,21,Kentucky,4339340,4347948,4368505,4383673,4399121,4410415,4422057,4436113,4454189,8608,20557,15168,15448,11294,11642,14056,18076,0.1983711809,0.4727977428,0.3472126048,0.352398548,0.2567331065,0.2639660894,0.3178611221,0.4074738403,26,26,26,26,26,26,26,26,26,19,24,30,29,33,30,27,26,23,33,35,34,35,32,31,29
040,3,7,22,Louisiana,4533478,4544871,4574388,4602681,4626795,4648797,4671211,4686157,4684333,11393,29517,28293,24114,22002,22414,14946,-1824,0.2513081568,0.6494573773,0.6185089678,0.5239120417,0.4755343602,0.4821462413,0.3199598562,-0.038923152,25,25,25,25,25,25,25,25,25,14,19,20,22,23,20,26,48,12,24,28,29,28,27,30,45
040,1,1,23,Maine,1328362,1327568,1327968,1328101,1327975,1328903,1327787,1330232,1335907,-794,400,133,-126,928,-1116,2445,5675,-0.059772863,0.0301302833,0.0100153016,-0.00948723,0.0698808336,-0.083979041,0.1841409804,0.4266173119,41,41,41,41,41,41,42,42,42,50,48,50,50,44,46,40,38,50,49,50,50,44,46,36,28
040,3,5,24,Maryland,5773807,5788099,5843115,5891680,5932654,5970245,6000561,6024752,6052177,14292,55016,48565,40974,37591,30316,24191,27425,0.2475316546,0.950502056,0.8311491388,0.6954552861,0.6336287267,0.5077848564,0.4031456392,0.4552054591,19,19,19,19,19,19,19,19,19,12,11,12,14,17,18,18,21,16,12,21,25,26,26,26,27
040,1,1,25,Massachusetts,6547808,6564943,6612178,6659627,6711138,6757925,6794002,6823721,6859819,17135,47235,47449,51511,46787,36077,29719,36098,0.2616906299,0.7195035814,0.7176001614,0.7734817581,0.6971544915,0.5338472978,0.4374299566,0.5290075605,14,14,14,14,14,14,15,15,15,9,12,13,11,13,16,17,17,10,21,26,22,21,25,23,24
040,2,3,26,Michigan,9884129,9876731,9876199,9886610,9899219,9914675,9918170,9933445,9962311,-7398,-532,10411,12609,15456,3495,15275,28866,-0.074847263,-0.005386398,0.1054150488,0.1275361322,0.1561335293,0.0352507773,0.154010266,0.2905940487,8,8,8,9,9,10,10,10,10,51,50,37,33,28,39,25,20,51,50,46,44,42,43,39,35
040,2,4,27,Minnesota,5303924,5310711,5345967,5377695,5416074,5452649,5483238,5525050,5576606,6787,35256,31728,38379,36575,30589,41812,51556,0.1279618637,0.6638659117,0.5934941237,0.7136700761,0.6753046579,0.5609933814,0.762542133,0.9331318269,21,21,21,21,21,21,21,22,22,22,17,18,16,18,17,15,15,33,23,29,23,23,23,18,18
040,3,6,28,Mississippi,2968103,2970437,2977452,2982963,2987721,2988578,2985297,2985415,2984100,2334,7015,5511,4758,857,-3281,118,-1315,0.0786360851,0.236160538,0.185091145,0.1595058336,0.0286840706,-0.109784653,0.0039527055,-0.044047477,31,31,31,31,31,31,31,33,34,39,42,45,45,45,48,45,46,40,43,43,41,45,47,45,46
040,2,4,29,Missouri,5988925,5995681,6010280,6023267,6041142,6058014,6072640,6091176,6113532,6756,14599,12987,17875,16872,14626,18536,22356,0.1128082252,0.2434919403,0.2160797833,0.2967658581,0.2792849431,0.2414322582,0.3052379196,0.3670227227,18,18,18,18,18,18,18,18,18,23,29,33,25,25,25,20,24,35,42,40,35,33,33,32,31
040,4,8,30,Montana,989414,990507,996866,1003522,1011921,1019931,1028317,1038656,1050493,1093,6359,6656,8399,8010,8386,10339,11837,0.1104694294,0.6419944533,0.6676925484,0.8369522542,0.7915637683,0.822212483,1.0054292597,1.13964585,44,44,44,44,44,44,44,44,44,45,43,42,38,38,36,33,32,36,25,27,20,18,17,14,13
040,2,4,31,Nebraska,1826327,1829956,1841641,1854862,1867414,1880920,1893564,1907603,1920076,3629,11685,13221,12552,13506,12644,14039,12473,0.1987048322,0.638539943,0.717892358,0.6767080246,0.7232461575,0.6722242307,0.7414061526,0.6538572229,38,38,38,38,37,37,37,37,37,32,36,32,34,30,27,28,31,22,26,25,26,20,20,19,20
040,4,8,32,Nevada,2700691,2702797,2718170,2752410,2786547,2831730,2883057,2939254,2998039,2106,15373,34240,34137,45183,51327,56197,58785,0.0779800429,0.5687811552,1.2596710287,1.2402585371,1.6214691516,1.8125668761,1.949215711,1.9999972782,35,35,35,35,35,35,35,34,33,40,27,17,18,14,11,13,11,41,32,8,7,4,5,2,2
040,1,1,33,New Hampshire,1316460,1316700,1318345,1320923,1322622,1328684,1330134,1335015,1342795,240,1645,2578,1699,6062,1450,4881,7780,0.0182307096,0.124933546,0.1955482063,0.1286221831,0.4583320102,0.1091305382,0.3669555097,0.5827649877,42,42,42,42,42,42,41,41,41,47,46,47,46,41,41,37,37,48,45,42,43,29,40,28,22
040,1,2,34,New Jersey,8791953,8803708,8844694,8882095,8913735,8943010,8960001,8978416,9005644,11755,40986,37401,31640,29275,16991,18415,27228,0.1337018066,0.4655538325,0.4228636966,0.3562222651,0.3284257385,0.1899919602,0.2055245306,0.3032606197,11,11,11,11,11,11,11,11,11,13,13,16,20,19,23,21,22,32,34,32,33,31,37,34,33
040,4,8,35,New Mexico,2059207,2064607,2077744,2083590,2085161,2083207,2082264,2085432,2088070,5400,13137,5846,1571,-1954,-943,3168,2638,0.2622368708,0.6362954306,0.2813628628,0.0753987109,-0.09370979,-0.045266745,0.1521420915,0.1264965724,36,36,36,36,36,36,36,36,36,29,32,43,47,48,45,39,40,9,27,38,47,50,45,40,40
040,1,2,36,New York,19378110,19405185,19526372,19625409,19712514,19773580,19819347,19836286,19849399,27075,121187,99037,87105,61066,45767,16939,13113,0.1397195082,0.6245083466,0.5071961141,0.4438378838,0.3097829125,0.2314553055,0.0854669934,0.0661061249,3,3,3,3,3,4,4,4,4,5,4,5,5,9,15,22,30,31,29,31,32,32,34,43,41
040,3,5,37,North Carolina,9535721,9574247,9662940,9755299,9849812,9941160,10041769,10156689,10273419,38526,88693,92359,94513,91348,100609,114920,116730,0.4040176931,0.926370502,0.9558064109,0.9688375518,0.9274085637,1.012044872,1.1444198726,1.1492918608,10,10,10,10,10,9,9,9,9,4,6,6,4,5,6,5,5,4,13,18,15,15,14,12,12
040,2,4,38,North Dakota,672585,674518,684830,701380,722908,738658,754859,755548,755393,1933,10312,16550,21528,15750,16201,689,-155,0.2873986188,1.5287953768,2.4166581487,3.0693775129,2.1787004709,2.193301907,0.0912753243,-0.020514911,48,48,48,48,48,47,47,47,47,42,38,25,23,26,24,44,44,8,3,2,1,1,1,42,44
040,2,3,39,Ohio,11536730,11539282,11543332,11546969,11567845,11593741,11606027,11622554,11658609,2552,4050,3637,20876,25896,12286,16527,36055,0.0221206529,0.0350975043,0.0315073672,0.180792033,0.2238619207,0.1059709718,0.1424001512,0.3102158097,7,7,7,7,7,7,7,7,7,38,44,46,24,20,28,24,18,46,47,48,40,39,42,41,32
040,3,7,40,Oklahoma,3751598,3759529,3785232,3815298,3849840,3875008,3904353,3921207,3930864,7931,25703,30066,34542,25168,29345,16854,9657,0.2114032474,0.6836760669,0.7942974169,0.9053552304,0.6537414542,0.7572887591,0.4316720338,0.2462762104,28,28,28,28,28,28,28,28,28,21,21,19,17,22,19,23,33,20,22,22,16,25,19,24,36
040,4,9,41,Oregon,3831072,3837073,3865845,3893920,3919664,3960673,4016537,4085989,4142776,6001,28772,28075,25744,41009,55864,69452,56787,0.1566402302,0.7498423929,0.7262319105,0.6611332539,1.0462376367,1.4104673625,1.7291512564,1.3897981615,27,27,27,27,27,27,27,27,27,25,20,21,21,15,10,9,13,29,20,23,27,13,10,6,10
040,1,2,42,Pennsylvania,12702857,12711063,12742811,12768034,12778450,12790341,12791124,12787085,12805537,8206,31748,25223,10416,11891,783,-4039,18452,0.0645996409,0.2497666796,0.1979390576,0.0815787301,0.0930551045,0.0061218071,-0.031576584,0.1443018483,6,6,6,6,6,6,6,6,5,20,18,22,36,32,44,48,25,44,41,41,46,43,44,46,39
040,1,1,44,Rhode Island,1052945,1053169,1052154,1052761,1052784,1054782,1055916,1057566,1059639,224,-1015,607,23,1998,1134,1650,2073,0.0212736658,-0.096375795,0.0576911745,0.0021847314,0.1897825195,0.1075103671,0.15626243,0.1960161352,43,43,43,43,43,43,43,43,43,48,51,48,49,42,43,43,41,47,51,47,49,40,41,38,37
040,3,5,45,South Carolina,4625381,4635834,4672744,4719009,4765862,4824758,4892423,4959822,5024369,10453,36910,46265,46853,58896,67665,67399,64547,0.2259921939,0.7961889921,0.9901034596,0.9928567629,1.2357890346,1.4024537604,1.3776200463,1.3013975098,24,24,24,24,24,24,23,23,23,16,16,14,12,10,9,10,10,18,18,16,13,10,11,11,11
040,2,4,46,South Dakota,814197,816227,823338,832576,842513,849455,854036,861542,869666,2030,7111,9238,9937,6942,4581,7506,8124,0.249325409,0.8712037215,1.1220179319,1.1935246752,0.8239635472,0.5392869546,0.8788856676,0.9429604128,46,46,46,46,46,46,46,46,46,41,41,38,37,39,38,36,36,14,17,11,8,17,24,17,17
040,3,6,47,Tennessee,6346295,6355882,6396281,6450632,6490795,6540007,6590726,6649404,6715984,9587,40399,54351,40163,49212,50719,58678,66580,0.1510645187,0.6356159539,0.8497281467,0.6226211633,0.7581813938,0.7755190476,0.8903116288,1.0012927474,17,17,17,17,17,17,17,16,16,18,14,11,15,12,12,12,9,30,28,20,28,19,18,16,15
040,3,7,48,Texas,25146100,25241648,25644424,26078327,26479279,26954436,27454880,27904862,28304596,95548,402776,433903,400952,475157,500444,449982,399734,0.3799714469,1.595680282,1.6919974494,1.5374912662,1.7944484062,1.8566294617,1.638987313,1.4324887183,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,5,2,3,4,2,3,9,7
040,4,8,49,Utah,2763889,2775260,2815430,2854222,2899961,2938671,2984917,3044321,3101833,11371,40170,38792,45739,38710,46246,59404,57512,0.4114130488,1.4474319523,1.3778357125,1.6025032391,1.3348455376,1.573704576,1.9901390893,1.8891568925,34,34,34,34,33,33,32,31,31,15,15,15,13,16,14,11,12,3,4,5,3,8,7,1,3
040,1,1,50,Vermont,625741,625842,626210,625606,626044,625665,624455,623354,623657,101,368,-604,438,-379,-1210,-1101,303,0.0161408634,0.0588007836,-0.096453266,0.0700121163,-0.060538876,-0.193394229,-0.176313746,0.0486080141,49,49,49,50,50,50,50,50,50,49,49,51,48,47,47,46,43,49,46,51,48,47,50,48,42
040,3,5,51,Virginia,8001043,8025206,8107548,8188656,8261689,8316902,8366767,8414380,8470020,24163,82342,81108,73033,55213,49865,47613,55640,0.301998127,1.0260421975,1.0004011077,0.8918801816,0.6683016027,0.5995621927,0.5690728569,0.6612489571,12,12,12,12,12,12,12,12,12,6,7,7,7,11,13,14,14,7,10,15,18,24,22,21,19
040,4,9,53,Washington,6724545,6741386,6819155,6890899,6963410,7046931,7152818,7280934,7405743,16841,77769,71744,72511,83521,105887,128116,124809,0.2504407361,1.1536055049,1.0520951643,1.0522719895,1.1994267177,1.5025973718,1.7911262386,1.7141894158,13,13,13,13,13,13,13,13,13,10,8,9,8,7,5,4,4,13,8,12,11,11,8,5,4
040,3,5,54,West Virginia,1853006,1854315,1854891,1855360,1852333,1847624,1839767,1828637,1815857,1309,576,469,-3027,-4709,-7857,-11130,-12780,0.0706419731,0.0310626835,0.0252845046,-0.163148931,-0.254219949,-0.42524886,-0.604967912,-0.698881189,37,37,37,37,38,38,38,38,38,44,47,49,51,50,50,50,50,43,48,49,51,51,51,51,50
040,2,3,55,Wisconsin,5687288,5690403,5705812,5721075,5736673,5751272,5759744,5772917,5795483,3115,15409,15263,15598,14599,8472,13173,22566,0.0547712724,0.2707892569,0.2674991745,0.2726410683,0.2544854831,0.1473065437,0.2287080815,0.3908942394,20,20,20,20,20,20,20,20,20,37,26,29,26,29,35,29,23,45,40,39,37,37,39,33,30
040,4,8,56,Wyoming,563767,564376,567602,576608,582341,583334,586102,584910,579315,609,3226,9006,5733,993,2768,-1192,-5595,0.1080233501,0.5716047458,1.5866751703,0.9942630002,0.170518648,0.4745137434,-0.203377569,-0.956557419,51,51,51,51,51,51,51,51,51,46,45,39,43,43,40,47,49,38,31,4,12,41,28,49,51
040,X,X,72,Puerto Rico,3726157,3721525,3678732,3634488,3593077,3534874,3473177,3406520,3337177,-4632,-42793,-44244,-41411,-58203,-61697,-66657,-69343,-0.124310382,-1.149878074,-1.202697016,-1.139390197,-1.619865091,-1.745380458,-1.919193868,-3.91572327,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
